Date,Open,High,Low,Close,Adj Close,Volume
2012-12-03,182.370941,182.887192,180.076477,181.147232,122.587173,3503682
2012-12-04,181.367111,182.361374,180.707458,181.032501,122.509529,4174272
2012-12-05,180.697891,181.128113,178.718933,180.353729,122.050217,4395397
2012-12-06,180.850861,181.816437,180.124283,181.357559,122.729507,3364564
2012-12-07,181.778198,183.747604,181.749527,183.508606,124.185196,4279500
2012-12-10,183.718933,185.028687,183.221802,184.149139,124.618675,3596671
2012-12-11,184.684509,186.233276,184.655838,185.659653,125.640884,4334624
2012-12-12,186.042068,186.185471,183.99617,184.46463,124.832161,4437027
2012-12-13,183.728485,184.560226,182.954117,183.546844,124.211121,3789867
2012-12-14,183.26004,184.894836,182.848953,183.326965,124.062294,4002937
2012-12-17,183.326965,185.382416,183.326965,185.105164,125.265617,3966850
2012-12-18,185.325043,187.304016,185.315491,187.084137,126.604904,4315691
2012-12-19,186.864243,187.810699,186.424469,186.500961,126.210228,4466943
2012-12-20,185.917786,186.376678,184.66539,186.20459,126.009666,4376987
2012-12-21,184.608032,185.946457,183.145309,184.913956,125.136299,8603664
2012-12-24,184.560226,185.305923,183.575531,183.938812,124.476341,1706235
2012-12-26,183.757172,185.019119,182.552582,183.508606,124.185196,2904219
2012-12-27,183.107071,184.780121,182.313583,184.235184,124.676903,4150110
2012-12-28,182.705551,183.766724,181.481842,181.481842,122.81366,3699284
2012-12-31,180.908218,183.250473,180.53537,183.12619,123.926407,4900405
2013-01-02,185.554489,187.715103,185.277252,187.715103,127.031845,4428869
2013-01-03,187.065002,187.657745,185.889099,186.682602,126.333115,3812356
2013-01-04,185.650101,185.908218,184.302109,185.458893,125.505043,3535689
2013-01-07,184.894836,185.258133,183.881454,184.646271,124.955093,2993966
2013-01-08,184.435944,184.79924,183.173996,184.388138,124.78038,3166137
2013-01-09,184.971313,184.980881,183.221802,183.862335,124.424568,3359752
2013-01-10,184.177826,184.474182,182.868073,184.397705,124.786919,3774073
